Continent,ISO_code,Cname,Year,MCV1_percent_coverage,gain_index_value,urban_percent,measles_incidence_rate_per_100_000,HDI_index_value,percent_refugee_origin_population,percent_dis_conflict_population,percent_dis_disaster_population,climate_risk_index,overall_vaccine_confidence_percent,peace_index_score
Europe,SWE,Sweden,2017,97,71.34,87.146,5.35,0.93,0,NA,NA,108.17,0.57,1.516
Africa,TCD,Chad,2017,37,25.7,22.858,2294.05,0.4,0.11,0.04,NA,116,0.71,2.495
Asia,SYR,Syrian Arab Republic,2017,67,38.97,53.5,2033.08,0.54,36.96,17.06,0.01,NA,NA,3.814
North America,TTO,Trinidad and Tobago,2017,93,48.57,53.205,0,0.78,0.02,NA,0.01,84.5,NA,2.095
Africa,TUN,Tunisia,2017,98,49.67,68.642,1097.15,0.74,0.02,NA,0.01,82.33,0.72,1.977
Asia,TJK,Tajikistan,2017,98,42.67,26.982,44.52,0.65,0.02,NA,0.05,88.33,0.8999999999999999,2.263
Africa,TZA,United Republic of Tanzania,2017,99,37.04,33.053,829.63,0.54,0,NA,0,81.67,0.9299999999999999,1.876
Asia,UZB,Uzbekistan,2017,99,47.22,50.55,0.25,0.71,0.01,NA,NA,116,0.8999999999999999,2.132
Asia,PRK,Democratic People's Republic of Korea,2017,99,NA,61.678,244.24,NA,0,NA,NA,NA,NA,2.967
Asia,QAT,Qatar,2017,99,53.02,99.078,621.17,0.86,0,NA,NA,116,NA,1.664
Africa,RWA,Rwanda,2017,97,42.6,17.125,514.08,0.52,2.16,NA,0.04,79.33,0.9199999999999999,2.227
Asia,SGP,Singapore,2017,95,69.3,100,28.68,0.93,0,NA,NA,116,0.73,1.534
Australia,SLB,Solomon Islands,2017,84,38.1,23.286,223.84,0.55,0.01,NA,0.09,75.33,NA,NA
Africa,STP,Sao Tome and Principe,2017,90,42.37,71.968,250.98,0.59,0.01,NA,NA,NA,NA,NA
Africa,SWZ,Eswatini,2017,89,40.23,23.625,203.45,0.59,0.02,NA,NA,NA,NA,2.01
Asia,TKM,Turkmenistan,2017,99,40.3,51.153,0.24,0.71,0.01,NA,NA,NA,0.8099999999999999,2.27
Asia,TLS,Timor-Leste,2017,77,41.14,30.212,425.83,0.62,0,NA,NA,116,NA,1.866
Asia,TUR,Turkey,2017,96,56.65,74.644,2609.09,0.79,0.08,NA,NA,69.17,0.7699999999999999,2.777
Australia,TUV,Tuvalu,2017,95,NA,61.53,NA,NA,NA,NA,NA,116,NA,NA
North America,USA,United States of America,2017,92,67.92,82.058,0.66,0.92,0,NA,0.52,19.83,0.61,2.232
South America,VEN,Venezuela (Bolivarian Republic of),2017,96,42.11,88.183,0,0.76,0.03,NA,0.01,106.83,0.89,2.652
Australia,WSM,Samoa,2017,58,46.5,18.452,8940.03,0.71,NA,NA,NA,116,NA,NA
Africa,ZAF,South Africa,2017,70,50.25,65.85,1560.51,0.7,0,NA,0.03,35.67,0.7300000000000001,2.324
Asia,VNM,Viet Nam,2017,97,46.58,35.213,256.58,0.69,0.35,NA,0.67,13.5,0.63,1.919
Africa,ZWE,Zimbabwe,2017,90,33.09,32.237,625.31,0.54,0.12,NA,0.07,56.83,0.8099999999999999,2.352
Asia,YEM,Yemen,2017,65,33.47,36.016,347.08,0.45,0.08,0.57,0,66.17,0.8099999999999999,3.412
Australia,VUT,Vanuatu,2017,80,39.32,25.163,547.79,0.6,NA,NA,4.9,90,NA,NA
Africa,ZMB,Zambia,2017,96,38.65,42.976,114.01,0.59,0,NA,0.02,116,0.7,1.786
